state,month,energySource,powerGenerated
MD,2,Other,781938
MD,2,Solar Thermal and Photovoltaic,70547
MD,2,Total,1965562
MD,2,Wind,47874
ME,2,Coal,3068
ME,2,Hydroelectric Conventional,345944
ME,2,Natural Gas,259770
ME,2,Other,147920
ME,2,Solar Thermal and Photovoltaic,62271
ME,2,Total,1102324
ME,2,Wind,283352
MI,2,Coal,1366515
MI,2,Hydroelectric Conventional,101091
MI,2,Natural Gas,4584939
MI,2,Other,2612330
MI,2,Solar Thermal and Photovoltaic,118689
MI,2,Total,9626612
MI,2,Wind,843049
MN,2,Coal,877092
MN,2,Hydroelectric Conventional,55801
MN,2,Natural Gas,1198568
MN,2,Other,859753
MN,2,Solar Thermal and Photovoltaic,152904
MN,2,Total,4460949
MN,2,Wind,1316831
MO,2,Coal,2460480
MO,2,Hydroelectric Conventional,89178
MO,2,Natural Gas,578178
MO,2,Other,650144
MO,2,Solar Thermal and Photovoltaic,12166
MO,2,Total,4543633
MO,2,Wind,753488
MS,2,Coal,127973
MS,2,Natural Gas,4191399
MS,2,Other,1082102
MS,2,Solar Thermal and Photovoltaic,56229
MS,2,Total,5457704
MT,2,Coal,940445
MT,2,Hydroelectric Conventional,639939
MT,2,Natural Gas,77902
MT,2,Other,66975
MT,2,Solar Thermal and Photovoltaic,19133
MT,2,Total,2268529
MT,2,Wind,524135
NC,2,Coal,973536
NC,2,Hydroelectric Conventional,458435
NC,2,Natural Gas,4338648
NC,2,Other,3397527
NC,2,Solar Thermal and Photovoltaic,807204
NC,2,Total,10026148
NC,2,Wind,50797
ND,2,Coal,1945677
ND,2,Hydroelectric Conventional,153815
ND,2,Natural Gas,238220
ND,2,Other,11719
ND,2,Total,3620175
ND,2,Wind,1270745
NE,2,Coal,1304734
NE,2,Hydroelectric Conventional,83460
NE,2,Natural Gas,61458
NE,2,Other,569997
NE,2,Solar Thermal and Photovoltaic,5109
NE,2,Total,3110906
NE,2,Wind,1086148
NH,2,Coal,0
NH,2,Hydroelectric Conventional,155249
NH,2,Natural Gas,196166
NH,2,Other,939210
NH,2,Solar Thermal and Photovoltaic,241
NH,2,Total,1333528
NH,2,Wind,42663
NJ,2,Coal,0
NJ,2,Hydroelectric Conventional,288
NJ,2,Natural Gas,2170353
NJ,2,Other,2534653
NJ,2,Solar Thermal and Photovoltaic,119539
NJ,2,Total,4826469
NJ,2,Wind,1635
NM,2,Coal,818918
NM,2,Hydroelectric Conventional,14088
NM,2,Natural Gas,1070640
NM,2,Other,3123
NM,2,Solar Thermal and Photovoltaic,222119
NM,2,Total,3631636
NM,2,Wind,1502748
NV,2,Coal,161547
NV,2,Hydroelectric Conventional,52676
NV,2,Natural Gas,1965485
NV,2,Other,353136
NV,2,Solar Thermal and Photovoltaic,566166
NV,2,Total,3129086
NV,2,Wind,30075
NY,2,Coal,0
NY,2,Hydroelectric Conventional,2492136
NY,2,Natural Gas,4740738
NY,2,Other,2474046
NY,2,Solar Thermal and Photovoltaic,199334
NY,2,Total,10436213
NY,2,Wind,529959
OH,2,Coal,1836523
OH,2,Hydroelectric Conventional,47800
OH,2,Natural Gas,7197885
OH,2,Other,1653506
OH,2,Solar Thermal and Photovoltaic,224830
OH,2,Total,11243401
OH,2,Wind,282858
OK,2,Coal,133227
OK,2,Hydroelectric Conventional,159048
OK,2,Natural Gas,2721470
OK,2,Other,24206
OK,2,Solar Thermal and Photovoltaic,4765
OK,2,Total,6703196
OK,2,Wind,3660482
OR,2,Hydroelectric Conventional,2263358
OR,2,Natural Gas,2127456
OR,2,Other,90569
OR,2,Solar Thermal and Photovoltaic,102096
OR,2,Total,5318662
OR,2,Wind,735184
PA,2,Coal,1094981
PA,2,Hydroelectric Conventional,280897
PA,2,Natural Gas,11528173
PA,2,Other,6529962
PA,2,Solar Thermal and Photovoltaic,66154
PA,2,Total,19806851
PA,2,Wind,306685
RI,2,Coal,0
RI,2,Hydroelectric Conventional,722
RI,2,Natural Gas,492341
RI,2,Other,21291
RI,2,Solar Thermal and Photovoltaic,38174
RI,2,Total,569066
RI,2,Wind,16537
SC,2,Coal,960170
SC,2,Hydroelectric Conventional,249271
SC,2,Natural Gas,1754974
SC,2,Other,4860526
SC,2,Solar Thermal and Photovoltaic,185704
SC,2,Total,8010645
SD,2,Coal,120281
SD,2,Hydroelectric Conventional,314189
SD,2,Natural Gas,169717
SD,2,Other,2190
SD,2,Solar Thermal and Photovoltaic,10913
SD,2,Total,1660893
SD,2,Wind,1043601
TN,2,Coal,1404088
TN,2,Hydroelectric Conventional,780049
TN,2,Natural Gas,1281402
TN,2,Other,3295226
TN,2,Solar Thermal and Photovoltaic,72562
TN,2,Total,6835268
TN,2,Wind,1941
TX,2,Coal,3486613
TX,2,Hydroelectric Conventional,92469
TX,2,Natural Gas,17281179
TX,2,Other,3749909
TX,2,Solar Thermal and Photovoltaic,2249248
TX,2,Total,38821435
TX,2,Wind,11962017
UT,2,Coal,841689
UT,2,Hydroelectric Conventional,58470
UT,2,Natural Gas,1040294
UT,2,Other,56533
UT,2,Solar Thermal and Photovoltaic,260505
UT,2,Total,2330227
UT,2,Wind,72736
VA,2,Coal,103608
VA,2,Hydroelectric Conventional,115534
VA,2,Natural Gas,5551672
VA,2,Other,2765489
VA,2,Solar Thermal and Photovoltaic,418029
VA,2,Total,8958895
VA,2,Wind,4563
VT,2,Hydroelectric Conventional,142104
VT,2,Natural Gas,122
VT,2,Other,40642
VT,2,Solar Thermal and Photovoltaic,14445
VT,2,Total,228779
VT,2,Wind,31465
WA,2,Coal,308107
WA,2,Hydroelectric Conventional,4241577
WA,2,Natural Gas,1779393
WA,2,Other,921091
WA,2,Solar Thermal and Photovoltaic,17672
WA,2,Total,7994266
WA,2,Wind,726425
WI,2,Coal,1259182
WI,2,Hydroelectric Conventional,141591
WI,2,Natural Gas,1951043
WI,2,Other,919068
WI,2,Solar Thermal and Photovoltaic,170879
WI,2,Total,4624244
WI,2,Wind,182482
WV,2,Coal,2656603
WV,2,Hydroelectric Conventional,144191
WV,2,Natural Gas,200539
WV,2,Other,14963
WV,2,Solar Thermal and Photovoltaic,2471
WV,2,Total,3195759
WV,2,Wind,176993
WY,2,Coal,2237785
WY,2,Hydroelectric Conventional,66391
WY,2,Natural Gas,220198
WY,2,Other,40639
WY,2,Solar Thermal and Photovoltaic,10770
WY,2,Total,3434384
WY,2,Wind,858602
AK,3,Coal,60285
AK,3,Hydroelectric Conventional,151133
AK,3,Natural Gas,213285
AK,3,Other,91154
AK,3,Solar Thermal and Photovoltaic,1239
AK,3,Total,530412
AK,3,Wind,13316
AL,3,Coal,1577956
AL,3,Hydroelectric Conventional,1012309
AL,3,Natural Gas,3743147
AL,3,Other,3663603
AL,3,Solar Thermal and Photovoltaic,99498
AL,3,Total,10096514
AR,3,Coal,843066
AR,3,Hydroelectric Conventional,349481
AR,3,Natural Gas,1685560
AR,3,Other,1469779
AR,3,Solar Thermal and Photovoltaic,144097
AR,3,Total,4491984
AZ,3,Coal,435678
AZ,3,Hydroelectric Conventional,528550
AZ,3,Natural Gas,3045985
AZ,3,Other,2972616
AZ,3,Solar Thermal and Photovoltaic,748238
AZ,3,Total,7951700
AZ,3,Wind,220632
CA,3,Coal,20049
CA,3,Hydroelectric Conventional,3191332
CA,3,Natural Gas,4719090
CA,3,Other,3025933
CA,3,Solar Thermal and Photovoltaic,3329675
CA,3,Total,15659383
CA,3,Wind,1373306
CO,3,Coal,1046216
CO,3,Hydroelectric Conventional,135792
CO,3,Natural Gas,1614306
CO,3,Other,26485
CO,3,Solar Thermal and Photovoltaic,422986
CO,3,Total,4849668
CO,3,Wind,1603884
CT,3,Coal,0
CT,3,Hydroelectric Conventional,50000
CT,3,Natural Gas,2077930
CT,3,Other,1642575
